test_index,happy_predicted_classes,happy_predicted_classes_percent,happy_trials,happy_chance,sad_predicted_classes,sad_predicted_classes_percent,sad_trials,sad_chance,winner,test_index
0,"[1.  1.  1.  0.  1.  0.  0.  1.  0.  0.  1.  1.  1.  1.  0.  0.  1.  0.
 1.  1.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.5 1.  0.  0.  0.  0.  0.5
 0.5 1.  1.  0.  0.5 0.  0.  1.  1.  0.  0.  1.  1.  1.  0.  0.  1.  1.
 1.  1.  0.5 1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1. ]",0.5625,[1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1.],0.583333333,"[0.  0.  0.  1.  0.5 0.5 0.  0.  1.  0.5 0.  0.  1.  1.  0.  1.  1.  1.
 1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.  1.
 0.  0.  1.  0.  0.  0.  1.  1.  1.  0.  1.  1.  1.  0.  0.  1.  0.5 0.5
 0.5 1.  1.  1.  0.  0.  1.  1.  1.  1.  0.  1.  0.  0.  0.  1.  0.5 0.5
 0.  1.  0.  0.5 0.  0. ]",0.506410256,"[0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1. 1. 0. 1.
 0. 0.]",0.5,TRUE,0
1,"[1.  0.  0.  0.5 0.  0.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  0.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  0.  0.  0.
 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.
 1.  1.  0.5 1.  1.  1.  1.  0.5 0.5]",0.820987654,"[0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1.
 1. 1. 1.]",0.888888889,"[1.  1.  0.  0.5 0.5 0.  0.  0.  0.5 0.  1.  1.  0.5 0.5 1.  0.  1.  0.5
 0.  0.  1.  0.  1.  1.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  0.5 1.  1.
 1.  1.  1.  1.  1.  0.5 0.5 1.  1.  1.  0.  1. ]",0.666666667,[1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.727272727,TRUE,1
2,"[1.  1.  0.  1.  1.  0.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  0.  0.5
 1.  1.  1.  0.  0.5 0.5 1.  1.  1.  0.  1.  1.  1.  1.  1.  0.  1.  0.
 0.  1.  1.  0.  0.5 0.  1.  0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 1.  1.  1.
 0.  1.  1.  1.  0.5 0.  1.  1.  1.  0.  1.  1.  1.  0.  1.  1.  1.  1. ]",0.708333333,[1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1.],0.75,"[1.  1.  1.  1.  0.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  0.  1.  1.  0.  1.  1.  1.  0.  1.  0.5 1.  1.  1.  1.  0.
 0.  1.  0.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.
 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.
 1.  1.  1.  0.5 1.  1. ]",0.858974359,"[1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1.]",0.923076923,FALSE,2
3,"[1.  0.  1.  1.  0.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.
 1.  0.  0.5 0.5 1.  1.  1.  1.  1.  0.5 0.5 1.  1.  0.5 0.5 0.5 1.  1.
 1.  1.  1.  1.  1.  1.  0.5 1.  1.  0.5 0.5 0.5 1.  1.  0.5 0.5 1.  0.
 0.5 0.5 0.  1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5]",0.734848485,[1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0.],0.727272727,"[0.  0.5 0.5 0.5 0.5 0.  1.  0.5 0.  0.  1.  1.  1.  1.  1.  0.  1.  1.
 1.  1.  0.  0.5 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 0.5
 1.  1.  0.5 0.  1.  1.  1.  0.5 0.  0.5 0.5 0.5 0.5 0.5 0.  0.5 0.5 0.5
 1.  0.  0.5 0.  1.  1.  0.  0.5 1.  1.  1.  1.  0.5 0.  1.  1.  1.  0.
 1.  0.  0.  0.5 1.  1.  0.  0.  0.5]",0.62345679,"[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1.
 0. 1. 0.]",0.555555556,TRUE,3
4,"[1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0.5 0.5 0.5 1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. ]",0.855072464,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],0.782608696,"[1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  0.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  0.  1.  1.  0.5 0.  1.  0.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.
 1.  0.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1. ]",0.892857143,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",0.964285714,FALSE,4
5,"[0.  1.  1.  1.  0.  1.  1.  1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  1.
 0.  1.  1.  1.  0.5 0.5 0.5 0.5 0.  0.  0.  0.  1.  1.  0.  0.  0.  0.
 0.  0.  0.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.
 0.5 1.  1.  1.  1.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  1.  1.  0.  0.
 0.5 1.  1.  0.  1.  1. ]",0.544871795,"[1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 1. 1.]",0.576923077,"[0.  0.  1.  1.  0.  0.5 1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.
 1.  0.  1.  0.  0.  0.  1.  1.  1.  1.  0.  0.  1.  1.  0.  0.  0.  1.
 0.  0.  0.5 1.  0.  1.  1.  0.  1.  1.  1.  0.5 0.  0.  0.  1.  0.  0.
 1.  0.  1.  0.  0.  0.  1.  0.  1.  0.  0.  0. ]",0.401515152,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 1. 0.],0.409090909,TRUE,5
6,"[0.  0.  0.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  0.  0.  0.5 1.  1.
 1.  0.  1.  1.  1.  1.  0.5 0.  0.  0.5 0.  0.  0.  0.  0.  1.  0.  0.
 0.5 1.  0.  1.  1.  1.  1.  0.  1.  0.5 1.  1.  1.  1.  0.  0.  0.  0.
 0.5 0.  1.  0.  1.  0.  1.  0.  0.  0.5 1.  0.  1.  1.  0.  0.  0.  0.
 0.5 0.  0.  0.  0.  0. ]",0.474358974,"[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0.
 0. 0.]",0.423076923,"[1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 0.  1.  0.  0.  0.  0.  0.
 0.  0.5 0.  0.  0.  1.  0.  1.  0.  0.  0.5 1.  1.  1.  0.  1.  1.  0.
 0.5 0.5 1.  0.5 1.  0.5 1.  0.  0.5 0.5 0.5 1.  1.  1.  1.  0.  1.  1.
 1.  0.5 1.  1.  0.  1.  0.  1.  0.  0.  0.5 1.  0.  1.  1.  0.  0.  1. ]",0.569444444,[1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 0.],0.541666667,FALSE,6
7,"[1.  1.  1.  1.  1.  1.  0.5 0.  1.  1.  1.  1.  1.  1.  0.  0.5 1.  1.
 1.  1.  1.  1.  1.  1.  0.5 1.  1.  0.5 0.  0.  1.  1.  1.  0.  1.  1.
 0.5 1.  1.  1.  1.  0.  1.  1.  1.  0.5 1.  0.  0.  0.  0.  0.  0.  0.
 0.5 0.  0.  0.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.
 0.5 1.  1.  1.  1.  1. ]",0.737179487,"[1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1.
 1. 1.]",0.769230769,"[0.5 0.5 0.5 0.5 1.  1.  0.  1.  0.  1.  1.  0.  1.  0.  1.  0.  0.  0.5
 1.  0.  1.  1.  1.  1.  0.  0.  1.  1.  0.  1.  1.  1.  0.5 1.  0.  0.
 1.  0.  0.  1.  1.  0.5 1.  1.  1.  1.  0.  1.  0.  0.  0.5 1.  0.  1.
 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.5 1.  0.  0.
 0.  0.  1. ]",0.486666667,"[0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0.
 0.]",0.44,TRUE,7
8,"[1.  0.  0.  1.  0.  0.  1.  1.  0.  1.  0.  0.  1.  1.  1.  0.5 1.  0.5
 0.5 1.  1.  1.  0.  0.  1.  1.  0.5 0.5 1.  1.  1.  0.  0.  1.  0.  0.
 0.  1.  0.  1.  0.  0.  1.  0.  1.  0.  1.  1.  1.  0.  0. ]",0.539215686,[0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0.],0.470588235,"[1.  0.  0.  0.5 1.  0.  1.  0.  0.  1.  1.  0.  0.  1.  0.  1.  0.  0.
 1.  1.  1.  0.5 1.  1.  0.  0.  0.  0.5 0.5 0.5 0.5 0.5 0.  0.5 1.  0.5
 1.  0.  0.  1.  0.  0.5 0.5 1.  1.  1.  0.  0.  1.  0.5 0.5 0.5 1.  0.5
 1.  0.  0.  1.  1.  0.5 1.  1.  1.  1.  0.  0.  1.  0.  0.5 0.5 1.  1.
 0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.  0.  1.  1.  0.5]",0.489583333,"[0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 1.
 0. 0. 1. 0. 0. 0. 0. 1.]",0.375,TRUE,8
9,"[0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 0.  0.
 0.  1.  0.  0.  1.  1.  1.  1.  1.  0.5 1.  1.  0.  0.  0.5 1.  0.5 0.5
 0.5 1.  0.5 0.5 0.5 1.  1.  1.  0.5 0.  1.  0.  1.  1.  1. ]",0.705882353,[1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1.],0.764705882,"[1.  1.  0.  0.5 0.  0.  0.  0.  1.  0.  0.5 0.  0.5 0.  1.  1.  1.  0.
 0.  0.  0.  0.5 1.  1.  0.  0.  1.  1.  0.5 1.  0.5 1.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 0.5 0.5 1.  0.  0.  1.  1.  1.  1.  0.5 0.5 1.  1.
 1.  1.  0.  1.  1.  0.5 0.  1.  1.  1.  1.  1.  1.  0.  0.  0.5 1.  1.
 1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  0.  1.  0.  0.  0.  1.
 0.  0.  1.  1.  1.  1. ]",0.651041667,"[1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1.
 1. 1. 1. 1. 0. 0. 0. 1.]",0.65625,TRUE,9
